Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      0,     0,00, "Query.fromType(org.jboss.windup.rules.apps.javaee.model.DataSourceModel).gremlin().has(isXA,EQUALS,false).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Scheduled).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Istio).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Derby Driver).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Akka Testkit).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,iLog).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,RabbitMQ Client).as(default)"
     2,      0,     0,00, "Query.fromType(org.jboss.windup.rules.apps.javaee.model.DataSourceModel).gremlin().has(isXA,EQUALS,true).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,PrimeFaces).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Clustering Web Session).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,DbUnit).as(default)"
  2671,   2929,     1,10, "TypeReferenceService.createTypeReference(fileModel,location,lineNumber,columnNumber,length,source)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.rules.apps.java.model.WindupJavaConfigurationModel).gremlin().has(classNotFoundAnalysisEnabled,EQUALS,true).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cactus).as(default)"
     1,     40,    40,00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/liquibase$).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SubCut).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,TieFaces).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SNMP4J).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JSON-B).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Shiro).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Test Interface).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPORT]).as(38b878f3-d775-48c5-9e38-c94a132fa3bc)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Zbus Client).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Geronimo).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MariaDB Driver).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Unitils).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Orion Web XML).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,tinylog).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,H2 Driver).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Resource Adapter).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hibernate OGM).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Logback).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Trunk JGuard).as(default)"
     1,     44,    44,00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/org/apache/kafka/clients/admin$).as(default)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JaxRSWebServiceModel).as(default)
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Handlebars).as(default)"
